overtakes_per_lap,lead_changes_per_lap,weather_volatility,safety_car_freq,rating,gp_name,year,pit_stop_intensity,retirement_rate,championship_active,gap_before,gap_after,title_clinched,leader_changed,championship_tension
3.60377358490566,0.0377358490566037,0.0,0.1509433962264151,7.904120443740094,Italian Grand Prix,2019,0.5660377358490566,0.15,1,65.0,63.0,0,0,0.6875
3.721311475409836,0.0491803278688524,0.0,0.0983606557377049,6.338562753036437,Singapore Grand Prix,2019,0.4754098360655737,0.15,1,63.0,65.0,0,0,0.6538
2.39622641509434,0.0188679245283018,0.0,0.1509433962264151,5.349075975359343,Russian Grand Prix,2019,0.5094339622641509,0.25,1,65.0,73.0,0,0,0.5833
3.7547169811320753,0.0754716981132075,0.0,0.0,6.323710073710074,Japanese Grand Prix,2019,0.6037735849056604,0.15,1,73.0,64.0,0,0,0.4385
2.5211267605633805,0.0422535211267605,0.0,0.056338028169014,5.895565927654609,Mexican Grand Prix,2019,0.4084507042253521,0.1,1,64.0,74.0,0,0,0.3846
3.4285714285714284,0.0714285714285714,0.0,0.0,5.948717948717949,United States Grand Prix,2019,0.6428571428571429,0.2,1,74.0,67.0,1,0,0.0513
4.633802816901408,0.0845070422535211,0.0,0.056338028169014,9.56153846153846,Brazilian Grand Prix,2019,0.6338028169014085,0.2,0,67.0,73.0,0,0,0.0
2.636363636363636,0.0,0.0,0.0,3.1933962264150946,Abu Dhabi Grand Prix,2019,0.4909090909090909,0.05,0,73.0,87.0,0,0,0.0
7.169014084507042,0.0985915492957746,0.0,0.0985915492957746,9.003297362110311,Austrian Grand Prix,2020,0.5915492957746479,0.45,1,0.0,7.0,0,0,1.0
2.563380281690141,0.028169014084507,0.0,0.028169014084507,5.697798295454546,Styrian Grand Prix,2020,0.3380281690140845,0.15,1,7.0,6.0,0,0,0.9832
2.414285714285714,0.0285714285714285,0.0422004521477015,0.0,5.414929107589658,Hungarian Grand Prix,2020,0.6571428571428571,0.1,1,6.0,5.0,0,1,0.9846
